preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
410000,Casa,Cariacica,Santa Bárbara,146,3,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
275000,Casa,Cariacica,São Conrado,210,2,2,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
699000,Térrea,Cariacica,Jardim América,280,3,4,8,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
500000,Casa,Cariacica,Sotelândia,240,3,2,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
469000,Casa,Cariacica,Campo Grande,172,3,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
600000,Casa de condomínio,Cariacica,Bela Aurora,135,4,2,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
359000,Apartamento,Cariacica,Morada de Santa Fé,60,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
260000,Casa,Cariacica,Jardim Botânico,312,2,3,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
580000,Casa,Cariacica,Jardim América,371,3,2,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
225000,Apartamento,Cariacica,Santa Cecília,59,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
900000,Apartamento,Cariacica,Itacibá,500,5,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
270000,Casa,Cariacica,Jardim Botânico,180,4,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
220000,Apartamento,Cariacica,Tucum,42,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
800000,Casa,Cariacica,Jardim América,200,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
480000,Casa,Cariacica,Cruzeiro do Sul,250,3,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
1100000,Apartamento,Cariacica,Campo Grande,145,4,3,2,True,True,True,True,True,False,False,True,False,False,False,False,False,False,,,False
500000,Apartamento,Cariacica,São Conrado,120,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,False
245000,Apartamento,Cariacica,Jardim de Alah,50,2,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,False
900000,Casa,Cariacica,Vera Cruz,206,3,3,2,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
322000,Apartamento,Cariacica,Morada de Santa Fé,46,2,1,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,,,False
1100000,Casa,Cariacica,Morada de Santa Fé,127,3,3,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
435900,Casa,Cariacica,Campina Grande,130,3,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
580000,Casa,Cariacica,Jardim América,119,3,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
223000,Apartamento,Cariacica,Alzira Ramos,41,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
390000,Apartamento,Cariacica,Rosa da Penha,180,3,2,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
364900,Casa,Cariacica,Campina Grande,110,3,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
420000,Apartamento,Cariacica,Campo Grande,76,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
1050000,Apartamento,Cariacica,Campo Grande,115,3,2,0,True,True,False,True,True,False,False,True,False,False,False,False,False,False,,,False
650000,Apartamento,Cariacica,Campo Grande,100,3,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
420000,Casa,Cariacica,Jardim Campo Grande,74,2,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
195000,Apartamento,Cariacica,Santa Bárbara,45,2,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,False
310000,Apartamento,Cariacica,São João Batista,49,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
