preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
213000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,50,2.0,1.0,1.0,17,54,False,True,True,True,False,True
225000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,40,2.0,1.0,1.0,8,84,False,True,False,True,False,False
230000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,45,2.0,1.0,1.0,12,126,False,True,False,True,False,True
230000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,46,2.0,1.0,1.0,9,152,False,True,False,True,False,True
245000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,50,2.0,1.0,1.0,20,37,False,False,False,True,False,True
560000,apartamento,apartamento_padrao,Cariacica,Maracanã,54,2.0,1.0,1.0,7,10,False,False,True,True,False,True
200000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,70,2.0,1.0,1.0,8,332,False,False,False,False,False,False
230000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,59,2.0,1.0,1.0,8,18,False,False,True,False,False,False
299000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,44,2.0,1.0,1.0,9,250,False,True,False,False,False,True
322000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,46,2.0,1.0,1.0,9,1181,False,True,True,False,False,True
330000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,20,118,False,True,False,False,False,True
331800,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,44,2.0,1.0,,12,104,False,True,False,True,False,True
332000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,43,2.0,1.0,1.0,12,53,False,True,False,False,False,True
335300,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,44,2.0,1.0,1.0,11,121,False,True,True,False,False,True
345300,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,11,112,False,True,True,True,False,False
359000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,60,2.0,1.0,1.0,16,4,False,False,True,False,False,True
359000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,60,2.0,1.0,1.0,18,20,False,False,False,False,False,False
359000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,60,2.0,1.0,1.0,18,48,False,False,True,False,False,True
359300,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,20,37,False,True,False,False,False,True
360000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,54,2.0,1.0,1.0,12,26,False,False,True,False,False,True
361100,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,20,37,False,True,False,False,False,True
362900,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,20,37,False,True,False,False,False,True
373700,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,20,59,False,True,False,False,False,True
390000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,9,119,False,False,False,False,False,False
390000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2.0,1.0,1.0,11,119,False,True,False,True,False,True
392000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,52,3.0,1.0,1.0,3,118,False,True,False,True,False,True
409900,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,52,3.0,1.0,1.0,10,59,False,True,False,False,False,True
415900,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,52,3.0,1.0,1.0,10,118,False,True,False,False,False,True
495000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,147,3.0,2.0,2.0,20,1181,False,False,False,False,True,False
510000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,178,3.0,2.0,2.0,19,748,False,False,False,False,False,False
700000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,152,3.0,2.0,1.0,17,104,False,False,False,False,False,False
155000,apartamento,apartamento_padrao,Cariacica,Nova Brasília,32,1.0,1.0,,8,32,False,False,False,False,False,False
254269,apartamento,apartamento_padrao,Cariacica,Nova Valverde,41,2.0,1.0,1.0,10,233,False,True,False,True,False,True
