preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
645800,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,54,2,2,1,True,17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,11959.26,False
671092,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,16,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0,11983.79,False
671092,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,20,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1,11983.79,False
671095,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,11983.84,False
671097,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,11983.88,False
671098,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,18,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0,11983.89,False
671103,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,11983.98,False
671104,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,11984.0,False
682773,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,62,2,1,1,True,11,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1,11012.47,False
690000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,103,3,2,1,True,19,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0,6699.03,False
690000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,102,3,2,1,True,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,6764.71,False
690034,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,102,3,2,1,True,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,6765.04,False
697800,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,68,2,2,1,True,8,False,True,True,False,True,False,False,False,False,False,False,False,False,False,2,10261.76,False
725600,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,1,2,True,19,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1,12957.14,False
749000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,60,2,2,1,False,10,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,12483.33,False
753500,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,68,2,1,2,True,17,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1,11080.88,False
788000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2,2,1,True,14,True,True,True,False,True,False,False,True,False,False,False,False,False,False,0,14071.43,False
799000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,71,2,2,2,True,18,False,True,True,False,True,False,False,False,False,False,False,False,False,False,2,11253.52,False
842489,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,76,3,2,2,True,20,False,False,True,False,True,False,False,True,False,False,False,False,False,False,0,11085.38,False
872501,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,60,2,1,1,True,11,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1,14541.68,False
967317,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,76,3,3,2,True,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,12727.86,False
1142571,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,72,3,1,1,True,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,15869.04,False
2100000,apartamento,apartamento_padrao,Vila Velha,Darly Santos,148,4,4,3,True,20,False,True,True,False,True,False,False,True,False,False,False,False,False,False,0,14189.19,False
2179000,apartamento,apartamento_padrao,Vila Velha,Darly Santos,147,4,4,3,True,20,False,True,True,False,True,True,True,True,False,False,False,True,False,False,1,14823.13,False
2599000,apartamento,apartamento_padrao,Vila Velha,Darly Santos,147,4,4,3,True,16,False,True,True,False,True,True,False,True,False,False,False,False,False,False,2,17680.27,False
950000,apartamento,apartamento_padrao,Vila Velha,Divino Espírito Santo,89,2,1,1,True,19,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1,10674.16,False
350000,apartamento,apartamento_padrao,Vila Velha,Glória,52,2,1,1,False,14,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0,6730.77,False
225000,apartamento,apartamento_padrao,Vila Velha,Guaranhuns,60,2,1,,True,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3750.0,False
225000,apartamento,apartamento_padrao,Vila Velha,Guaranhuns,60,2,1,0,True,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3750.0,False
280000,apartamento,apartamento_padrao,Vila Velha,IBES,60,2,1,0,True,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4666.67,False
320000,apartamento,apartamento_padrao,Vila Velha,IBES,79,3,2,1,True,13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4050.63,False
320077,apartamento,apartamento_padrao,Vila Velha,IBES,79,3,2,1,True,13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4051.61,False
325000,apartamento,apartamento_padrao,Vila Velha,IBES,90,2,1,1,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3611.11,False
275000,apartamento,apartamento_padrao,Vila Velha,Ilha dos Ayres,27,1,1,,True,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,10185.19,False
250000,apartamento,apartamento_padrao,Vila Velha,Ilha dos Bentos,60,2,1,0,True,14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,4166.67,False
1069000,apartamento,apartamento_padrao,Vila Velha,Interlagos,73,3,2,0,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,14643.84,False
1275000,apartamento,apartamento_padrao,Vila Velha,Interlagos,73,3,2,2,True,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,17465.75,False
1275077,apartamento,apartamento_padrao,Vila Velha,Interlagos,73,3,2,2,True,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,17466.81,False
390000,apartamento,apartamento_padrao,Vila Velha,Itapuã,47,2,1,1,True,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,8297.87,False
430000,apartamento,apartamento_padrao,Vila Velha,Itapuã,130,3,2,1,True,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3307.69,False
430056,apartamento,apartamento_padrao,Vila Velha,Itapuã,130,3,2,1,True,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3308.12,False
