preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
645800,apartamento,Vila Velha,Coqueiral de Itaparica,54,2,2,1,20,0,True,False,False,True,False,False
645800,apartamento,Vila Velha,Coqueiral de Itaparica,54,2,2,1,17,1,True,False,False,False,False,False
650000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,11,4,False,False,False,False,False,False
650000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,20,4,True,False,False,True,False,True
671092,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,16,2,True,False,False,True,False,False
671092,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,20,3,True,False,False,True,False,False
671095,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,16,3,False,False,False,False,False,False
671097,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,19,3,True,False,False,False,False,False
671098,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,18,1,True,False,False,True,False,False
671103,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,18,1,True,False,False,False,False,False
671104,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,15,2,False,False,False,False,False,False
671105,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,20,0,False,False,False,True,False,False
682773,apartamento,Vila Velha,Coqueiral de Itaparica,62,2,1,1,11,2,False,True,True,True,False,False
690000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,19,2,False,False,False,True,False,True
690000,apartamento,Vila Velha,Coqueiral de Itaparica,102,3,2,1,15,3,True,False,False,False,False,False
690000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,19,8,False,False,False,False,False,False
690000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,19,8,False,False,False,True,False,True
690034,apartamento,Vila Velha,Coqueiral de Itaparica,102,3,2,1,16,3,True,False,False,False,False,False
695000,apartamento,Vila Velha,Coqueiral de Itaparica,70,2,2,1,17,5,False,True,False,False,False,True
697800,apartamento,Vila Velha,Coqueiral de Itaparica,68,2,2,1,8,3,False,True,True,True,False,False
700000,apartamento,Vila Velha,Coqueiral de Itaparica,102,3,2,1,19,0,False,False,False,True,False,True
749000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,2,1,10,2,False,True,False,True,False,True
750000,apartamento,Vila Velha,Coqueiral de Itaparica,58,2,2,1,7,11,False,False,False,False,False,False
760000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,2,1,6,1,False,True,True,True,False,True
777280,apartamento,Vila Velha,Coqueiral de Itaparica,70,2,1,1,0,3,False,False,False,False,False,False
788000,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,1,14,1,True,True,True,True,False,True
799000,apartamento,Vila Velha,Coqueiral de Itaparica,71,2,2,2,18,3,False,True,True,True,False,False
842489,apartamento,Vila Velha,Coqueiral de Itaparica,76,3,2,2,20,1,False,False,True,True,False,True
872501,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,11,2,False,True,True,True,False,False
950000,apartamento,Vila Velha,Coqueiral de Itaparica,71,3,2,2,10,5,False,False,False,False,False,False
950033,apartamento,Vila Velha,Coqueiral de Itaparica,71,3,2,1,10,5,False,False,False,False,False,False
967317,apartamento,Vila Velha,Coqueiral de Itaparica,76,3,3,2,8,3,False,False,False,False,False,False
1142571,apartamento,Vila Velha,Coqueiral de Itaparica,72,3,1,1,11,3,False,False,False,False,False,False
1150000,apartamento,Vila Velha,Coqueiral de Itaparica,87,3,2,2,19,9,False,True,True,False,False,True
850000,apartamento,Vila Velha,Cristóvão Colombo,150,2,2,4,12,1,False,False,False,False,True,False
2100000,apartamento,Vila Velha,Darly Santos,148,4,4,3,20,2,False,True,True,True,False,True
2100000,apartamento,Vila Velha,Darly Santos,148,4,4,3,20,10,False,True,True,True,True,True
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,20,2,False,True,True,True,True,True
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,20,4,False,True,True,True,True,True
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,20,8,False,True,True,True,True,True
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,20,8,False,True,True,True,True,True
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,20,10,False,True,True,True,True,True
2599000,apartamento,Vila Velha,Darly Santos,147,4,4,3,16,4,False,True,True,True,True,True
2799900,apartamento,Vila Velha,Darly Santos,188,4,4,4,8,5,True,True,True,True,True,True
280000,apartamento,Vila Velha,Divino Espírito Santo,34,1,1,1,7,4,False,False,False,False,False,False
365000,apartamento,Vila Velha,Divino Espírito Santo,55,2,1,1,11,8,False,False,False,False,True,True
365000,apartamento,Vila Velha,Divino Espírito Santo,55,2,1,1,11,9,False,False,True,True,True,True
540000,apartamento,Vila Velha,Divino Espírito Santo,70,2,2,1,15,9,False,False,False,False,True,True
550000,apartamento,Vila Velha,Divino Espírito Santo,280,3,3,2,10,5,False,False,False,False,False,False
690088,apartamento,Vila Velha,Divino Espírito Santo,297,4,2,1,18,9,False,False,False,False,False,False
940000,apartamento,Vila Velha,Divino Espírito Santo,80,2,3,0,20,1,False,True,True,True,True,True
950000,apartamento,Vila Velha,Divino Espírito Santo,89,2,1,1,19,2,False,True,True,False,False,False
950000,apartamento,Vila Velha,Divino Espírito Santo,89,2,1,1,19,10,False,True,True,False,False,False
350000,apartamento,Vila Velha,Glória,52,2,1,1,14,2,False,True,False,True,False,True
225000,apartamento,Vila Velha,Guaranhuns,60,2,1,,6,2,False,False,False,False,False,False
225000,apartamento,Vila Velha,Guaranhuns,60,2,1,0,6,3,False,False,False,False,False,False
320000,apartamento,Vila Velha,IBES,79,3,2,1,13,3,True,False,False,False,False,False
320077,apartamento,Vila Velha,IBES,79,3,2,1,13,3,True,False,False,False,False,False
325000,apartamento,Vila Velha,IBES,90,2,1,1,7,4,False,False,False,False,False,False
600000,apartamento,Vila Velha,Ilha das Flores,235,3,2,1,20,6,False,False,True,False,False,False
275000,apartamento,Vila Velha,Ilha dos Ayres,27,1,1,,8,1,False,False,False,False,False,True
370000,apartamento,Vila Velha,Ilha dos Ayres,140,3,2,1,15,1,False,False,True,False,False,False
250000,apartamento,Vila Velha,Ilha dos Bentos,60,2,1,0,14,2,False,False,True,False,False,False
280000,apartamento,Vila Velha,Ilha dos Bentos,45,2,1,,7,9,False,False,False,False,False,False
255000,apartamento,Vila Velha,Interlagos,41,1,1,1,13,5,False,True,False,False,False,False
1069000,apartamento,Vila Velha,Interlagos,73,3,2,0,20,1,False,False,False,False,False,False
1275000,apartamento,Vila Velha,Interlagos,73,3,2,2,12,3,True,False,False,False,False,False
1275077,apartamento,Vila Velha,Interlagos,73,3,2,2,12,3,True,False,False,False,False,False
1350000,apartamento,Vila Velha,Interlagos,360,4,5,3,10,4,False,False,False,False,False,False
2390000,apartamento,Vila Velha,Interlagos,210,3,4,4,20,9,False,False,False,False,False,False
295000,apartamento,Vila Velha,Itapuã,60,2,2,,12,8,False,False,True,False,False,False
380000,apartamento,Vila Velha,Itapuã,49,2,1,1,16,7,False,False,False,True,False,False
390000,apartamento,Vila Velha,Itapuã,47,2,1,1,9,0,False,False,False,True,False,False
390000,apartamento,Vila Velha,Itapuã,48,2,1,1,1,0,False,False,False,False,False,False
390000,apartamento,Vila Velha,Itapuã,50,2,1,1,1,1,False,False,False,False,False,False
390000,apartamento,Vila Velha,Itapuã,47,2,1,1,11,1,False,False,False,False,False,False
399000,apartamento,Vila Velha,Itapuã,130,3,2,1,15,11,False,False,False,True,False,False
420000,apartamento,Vila Velha,Itapuã,85,2,1,,16,9,False,False,False,False,False,True
430000,apartamento,Vila Velha,Itapuã,130,3,2,1,18,2,True,False,False,False,False,False
430056,apartamento,Vila Velha,Itapuã,130,3,2,1,18,2,True,False,False,False,False,False
450000,apartamento,Vila Velha,Itapuã,40,1,1,1,16,3,False,False,True,True,False,True
450000,apartamento,Vila Velha,Itapuã,42,1,1,1,15,3,False,False,False,True,True,True
450000,apartamento,Vila Velha,Itapuã,90,3,2,1,7,10,False,False,False,False,False,False
460000,apartamento,Vila Velha,Itapuã,90,3,2,1,13,10,False,False,False,False,False,False
500000,apartamento,Vila Velha,Itapuã,70,2,1,1,8,0,False,False,True,False,False,True
530088,apartamento,Vila Velha,Itapuã,90,3,2,1,14,3,True,False,False,False,False,False
550000,apartamento,Vila Velha,Itapuã,50,1,1,1,12,3,False,True,True,True,True,True
550000,apartamento,Vila Velha,Itapuã,73,3,2,1,19,5,False,False,False,False,False,False
550000,apartamento,Vila Velha,Itapuã,47,1,1,1,0,2,False,True,False,True,True,True
560000,apartamento,Vila Velha,Itapuã,73,2,2,1,7,1,False,False,True,True,False,True
560000,apartamento,Vila Velha,Itapuã,73,2,2,1,20,1,False,False,False,False,False,False
580000,apartamento,Vila Velha,Itapuã,83,3,2,1,9,0,False,False,False,False,False,False
580000,apartamento,Vila Velha,Itapuã,73,2,1,1,4,2,False,False,True,False,False,False
580000,apartamento,Vila Velha,Itapuã,70,2,2,1,14,5,False,False,False,False,False,True
580000,apartamento,Vila Velha,Itapuã,74,2,2,1,11,5,False,False,False,True,False,True
580000,apartamento,Vila Velha,Itapuã,70,2,2,1,7,6,False,False,False,True,False,True
580000,apartamento,Vila Velha,Itapuã,73,2,2,1,20,8,False,False,False,False,False,True
580000,apartamento,Vila Velha,Itapuã,73,2,1,1,7,10,False,False,True,False,False,False
580077,apartamento,Vila Velha,Itapuã,100,3,1,2,20,4,True,False,False,False,False,False
585000,apartamento,Vila Velha,Itapuã,97,3,2,1,19,7,False,False,False,False,False,True
585000,apartamento,Vila Velha,Itapuã,98,3,2,1,16,8,False,False,True,False,True,True
585000,apartamento,Vila Velha,Itapuã,98,3,2,1,19,11,True,False,True,False,True,True
590000,apartamento,Vila Velha,Itapuã,74,2,2,1,13,1,False,False,False,False,False,False
590000,apartamento,Vila Velha,Itapuã,74,2,2,1,13,2,False,False,False,True,False,False
599990,apartamento,Vila Velha,Itapuã,85,2,2,2,16,2,False,True,False,True,False,False
600000,apartamento,Vila Velha,Itapuã,79,3,2,1,20,2,False,False,False,False,False,False
600000,apartamento,Vila Velha,Itapuã,95,2,1,2,19,2,False,True,True,False,False,False
600000,apartamento,Vila Velha,Itapuã,179,3,2,1,20,2,True,False,True,True,False,False
600000,apartamento,Vila Velha,Itapuã,90,2,2,1,20,3,False,False,False,True,True,True
600000,apartamento,Vila Velha,Itapuã,79,2,1,1,19,4,False,False,True,False,False,False
600045,apartamento,Vila Velha,Itapuã,79,3,2,1,20,2,False,False,False,False,False,False
620000,apartamento,Vila Velha,Itapuã,93,2,1,1,20,11,False,False,True,False,False,True
625000,apartamento,Vila Velha,Itapuã,75,2,2,1,20,9,False,False,True,True,False,False
630000,apartamento,Vila Velha,Itapuã,78,2,2,1,20,5,False,False,False,True,True,True
640000,apartamento,Vila Velha,Itapuã,94,3,2,1,20,1,False,False,False,True,False,True
650000,apartamento,Vila Velha,Itapuã,73,3,2,1,20,0,False,False,False,False,False,False
650000,apartamento,Vila Velha,Itapuã,68,2,2,1,20,6,False,False,False,True,False,True
650000,apartamento,Vila Velha,Itapuã,56,2,1,1,19,9,False,False,False,True,False,False
650000,apartamento,Vila Velha,Itapuã,68,1,1,1,19,10,False,True,True,True,True,True
657000,apartamento,Vila Velha,Itapuã,94,3,2,1,20,2,False,False,False,True,True,True
659900,apartamento,Vila Velha,Itapuã,84,2,1,1,18,0,False,True,True,True,False,True
660000,apartamento,Vila Velha,Itapuã,65,2,1,1,16,11,False,True,False,True,False,True
665000,apartamento,Vila Velha,Itapuã,68,2,1,1,18,3,False,True,False,True,True,True
666000,apartamento,Vila Velha,Itapuã,65,2,1,1,16,5,False,True,False,False,False,True
666000,apartamento,Vila Velha,Itapuã,65,2,2,1,14,9,False,True,False,True,False,True
666000,apartamento,Vila Velha,Itapuã,65,2,1,1,14,10,False,True,False,True,False,True
667000,apartamento,Vila Velha,Itapuã,85,2,1,1,19,3,True,True,False,True,False,True
670000,apartamento,Vila Velha,Itapuã,70,2,2,1,20,6,False,True,False,True,False,True
670000,apartamento,Vila Velha,Itapuã,70,2,2,1,20,8,False,True,False,True,False,True
670000,apartamento,Vila Velha,Itapuã,44,1,1,1,4,10,False,False,False,True,True,True
670000,apartamento,Vila Velha,Itapuã,70,2,2,1,0,3,False,True,False,True,False,True
679000,apartamento,Vila Velha,Itapuã,64,2,1,1,8,2,False,True,True,True,False,False
680000,apartamento,Vila Velha,Itapuã,120,3,1,1,14,5,False,False,False,False,False,False
690000,apartamento,Vila Velha,Itapuã,65,2,2,1,14,4,True,False,False,True,False,True
690000,apartamento,Vila Velha,Itapuã,80,2,2,1,20,9,False,True,True,True,True,True
695000,apartamento,Vila Velha,Itapuã,64,2,2,1,17,7,False,True,True,True,False,False
695000,apartamento,Vila Velha,Itapuã,64,2,2,1,17,8,False,True,True,True,False,True
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,15,1,False,False,False,True,False,False
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,15,3,False,False,False,False,False,False
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,10,4,False,False,True,True,True,False
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,10,4,False,False,True,True,True,True
700000,apartamento,Vila Velha,Itapuã,70,2,2,1,17,4,False,True,False,False,False,True
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,18,5,False,False,True,False,False,True
700000,apartamento,Vila Velha,Itapuã,80,3,2,1,20,6,False,False,False,True,False,True
700000,apartamento,Vila Velha,Itapuã,94,3,2,1,20,9,False,False,False,True,False,True
700000,apartamento,Vila Velha,Itapuã,106,3,1,1,20,10,False,False,True,False,False,False
704719,apartamento,Vila Velha,Itapuã,250,4,5,3,20,4,False,False,False,False,False,False
715000,apartamento,Vila Velha,Itapuã,65,2,2,1,19,5,False,True,False,False,True,True
729000,apartamento,Vila Velha,Itapuã,69,2,2,1,20,3,False,True,True,True,False,True
730000,apartamento,Vila Velha,Itapuã,66,2,1,1,18,2,False,True,True,True,False,False
730000,apartamento,Vila Velha,Itapuã,60,2,2,1,17,8,False,True,True,True,False,True
730000,apartamento,Vila Velha,Itapuã,65,2,2,2,19,9,False,True,True,True,False,True
