preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,fonte_dataset
280000,apartamento,Vila Velha,Divino Espírito Santo,34,1,1,1,False,False,False,False,False,False,base_original
365000,apartamento,Vila Velha,Divino Espírito Santo,55,2,1,1,False,False,False,False,True,True,base_original
365000,apartamento,Vila Velha,Divino Espírito Santo,55,2,1,1,False,False,True,True,True,True,base_original
540000,apartamento,Vila Velha,Divino Espírito Santo,70,2,2,1,False,False,False,False,True,True,base_original
550000,apartamento,Vila Velha,Divino Espírito Santo,280,3,3,2,False,False,False,False,False,False,base_original
690088,apartamento,Vila Velha,Divino Espírito Santo,297,4,2,1,False,False,False,False,False,False,base_original
940000,apartamento,Vila Velha,Divino Espírito Santo,80,2,3,0,False,True,True,True,True,True,base_original
950000,apartamento,Vila Velha,Divino Espírito Santo,89,2,1,1,False,True,True,False,False,False,base_original
950000,apartamento,Vila Velha,Divino Espírito Santo,89,2,1,1,False,True,True,False,False,False,base_original
350000,apartamento,Vila Velha,Glória,52,2,1,1,False,True,False,True,False,True,base_original
225000,apartamento,Vila Velha,Guaranhuns,60,2,1,,False,False,False,False,False,False,base_original
225000,apartamento,Vila Velha,Guaranhuns,60,2,1,0,False,False,False,False,False,False,base_original
320000,apartamento,Vila Velha,IBES,79,3,2,1,True,False,False,False,False,False,base_original
320077,apartamento,Vila Velha,IBES,79,3,2,1,True,False,False,False,False,False,base_original
325000,apartamento,Vila Velha,IBES,90,2,1,1,False,False,False,False,False,False,base_original
600000,apartamento,Vila Velha,Ilha das Flores,235,3,2,1,False,False,True,False,False,False,base_original
275000,apartamento,Vila Velha,Ilha dos Ayres,27,1,1,,False,False,False,False,False,True,base_original
370000,apartamento,Vila Velha,Ilha dos Ayres,140,3,2,1,False,False,True,False,False,False,base_original
250000,apartamento,Vila Velha,Ilha dos Bentos,60,2,1,0,False,False,True,False,False,False,base_original
280000,apartamento,Vila Velha,Ilha dos Bentos,45,2,1,,False,False,False,False,False,False,base_original
255000,apartamento,Vila Velha,Interlagos,41,1,1,1,False,True,False,False,False,False,base_original
1069000,apartamento,Vila Velha,Interlagos,73,3,2,0,False,False,False,False,False,False,base_original
1275000,apartamento,Vila Velha,Interlagos,73,3,2,2,True,False,False,False,False,False,base_original
1275077,apartamento,Vila Velha,Interlagos,73,3,2,2,True,False,False,False,False,False,base_original
1350000,apartamento,Vila Velha,Interlagos,360,4,5,3,False,False,False,False,False,False,base_original
2390000,apartamento,Vila Velha,Interlagos,210,3,4,4,False,False,False,False,False,False,base_original
295000,apartamento,Vila Velha,Itapuã,60,2,2,,False,False,True,False,False,False,base_original
380000,apartamento,Vila Velha,Itapuã,49,2,1,1,False,False,False,True,False,False,base_original
390000,apartamento,Vila Velha,Itapuã,47,2,1,1,False,False,False,True,False,False,base_original
390000,apartamento,Vila Velha,Itapuã,48,2,1,1,False,False,False,False,False,False,base_original
390000,apartamento,Vila Velha,Itapuã,50,2,1,1,False,False,False,False,False,False,base_original
390000,apartamento,Vila Velha,Itapuã,47,2,1,1,False,False,False,False,False,False,base_original
399000,apartamento,Vila Velha,Itapuã,130,3,2,1,False,False,False,True,False,False,base_original
420000,apartamento,Vila Velha,Itapuã,85,2,1,,False,False,False,False,False,True,base_original
430000,apartamento,Vila Velha,Itapuã,130,3,2,1,True,False,False,False,False,False,base_original
430056,apartamento,Vila Velha,Itapuã,130,3,2,1,True,False,False,False,False,False,base_original
450000,apartamento,Vila Velha,Itapuã,40,1,1,1,False,False,True,True,False,True,base_original
450000,apartamento,Vila Velha,Itapuã,42,1,1,1,False,False,False,True,True,True,base_original
450000,apartamento,Vila Velha,Itapuã,90,3,2,1,False,False,False,False,False,False,base_original
460000,apartamento,Vila Velha,Itapuã,90,3,2,1,False,False,False,False,False,False,base_original
500000,apartamento,Vila Velha,Itapuã,70,2,1,1,False,False,True,False,False,True,base_original
530088,apartamento,Vila Velha,Itapuã,90,3,2,1,True,False,False,False,False,False,base_original
550000,apartamento,Vila Velha,Itapuã,50,1,1,1,False,True,True,True,True,True,base_original
550000,apartamento,Vila Velha,Itapuã,73,3,2,1,False,False,False,False,False,False,base_original
550000,apartamento,Vila Velha,Itapuã,47,1,1,1,False,True,False,True,True,True,base_original
560000,apartamento,Vila Velha,Itapuã,73,2,2,1,False,False,True,True,False,True,base_original
560000,apartamento,Vila Velha,Itapuã,73,2,2,1,False,False,False,False,False,False,base_original
580000,apartamento,Vila Velha,Itapuã,83,3,2,1,False,False,False,False,False,False,base_original
580000,apartamento,Vila Velha,Itapuã,73,2,1,1,False,False,True,False,False,False,base_original
580000,apartamento,Vila Velha,Itapuã,70,2,2,1,False,False,False,False,False,True,base_original
580000,apartamento,Vila Velha,Itapuã,74,2,2,1,False,False,False,True,False,True,base_original
580000,apartamento,Vila Velha,Itapuã,70,2,2,1,False,False,False,True,False,True,base_original
580000,apartamento,Vila Velha,Itapuã,73,2,2,1,False,False,False,False,False,True,base_original
580000,apartamento,Vila Velha,Itapuã,73,2,1,1,False,False,True,False,False,False,base_original
580077,apartamento,Vila Velha,Itapuã,100,3,1,2,True,False,False,False,False,False,base_original
585000,apartamento,Vila Velha,Itapuã,97,3,2,1,False,False,False,False,False,True,base_original
585000,apartamento,Vila Velha,Itapuã,98,3,2,1,False,False,True,False,True,True,base_original
585000,apartamento,Vila Velha,Itapuã,98,3,2,1,True,False,True,False,True,True,base_original
590000,apartamento,Vila Velha,Itapuã,74,2,2,1,False,False,False,False,False,False,base_original
590000,apartamento,Vila Velha,Itapuã,74,2,2,1,False,False,False,True,False,False,base_original
599990,apartamento,Vila Velha,Itapuã,85,2,2,2,False,True,False,True,False,False,base_original
600000,apartamento,Vila Velha,Itapuã,79,3,2,1,False,False,False,False,False,False,base_original
600000,apartamento,Vila Velha,Itapuã,95,2,1,2,False,True,True,False,False,False,base_original
600000,apartamento,Vila Velha,Itapuã,179,3,2,1,True,False,True,True,False,False,base_original
600000,apartamento,Vila Velha,Itapuã,90,2,2,1,False,False,False,True,True,True,base_original
600000,apartamento,Vila Velha,Itapuã,79,2,1,1,False,False,True,False,False,False,base_original
600045,apartamento,Vila Velha,Itapuã,79,3,2,1,False,False,False,False,False,False,base_original
620000,apartamento,Vila Velha,Itapuã,93,2,1,1,False,False,True,False,False,True,base_original
625000,apartamento,Vila Velha,Itapuã,75,2,2,1,False,False,True,True,False,False,base_original
630000,apartamento,Vila Velha,Itapuã,78,2,2,1,False,False,False,True,True,True,base_original
640000,apartamento,Vila Velha,Itapuã,94,3,2,1,False,False,False,True,False,True,base_original
650000,apartamento,Vila Velha,Itapuã,73,3,2,1,False,False,False,False,False,False,base_original
650000,apartamento,Vila Velha,Itapuã,68,2,2,1,False,False,False,True,False,True,base_original
650000,apartamento,Vila Velha,Itapuã,56,2,1,1,False,False,False,True,False,False,base_original
650000,apartamento,Vila Velha,Itapuã,68,1,1,1,False,True,True,True,True,True,base_original
657000,apartamento,Vila Velha,Itapuã,94,3,2,1,False,False,False,True,True,True,base_original
659900,apartamento,Vila Velha,Itapuã,84,2,1,1,False,True,True,True,False,True,base_original
660000,apartamento,Vila Velha,Itapuã,65,2,1,1,False,True,False,True,False,True,base_original
665000,apartamento,Vila Velha,Itapuã,68,2,1,1,False,True,False,True,True,True,base_original
666000,apartamento,Vila Velha,Itapuã,65,2,1,1,False,True,False,False,False,True,base_original
666000,apartamento,Vila Velha,Itapuã,65,2,2,1,False,True,False,True,False,True,base_original
666000,apartamento,Vila Velha,Itapuã,65,2,1,1,False,True,False,True,False,True,base_original
667000,apartamento,Vila Velha,Itapuã,85,2,1,1,True,True,False,True,False,True,base_original
670000,apartamento,Vila Velha,Itapuã,70,2,2,1,False,True,False,True,False,True,base_original
670000,apartamento,Vila Velha,Itapuã,70,2,2,1,False,True,False,True,False,True,base_original
670000,apartamento,Vila Velha,Itapuã,44,1,1,1,False,False,False,True,True,True,base_original
670000,apartamento,Vila Velha,Itapuã,70,2,2,1,False,True,False,True,False,True,base_original
679000,apartamento,Vila Velha,Itapuã,64,2,1,1,False,True,True,True,False,False,base_original
680000,apartamento,Vila Velha,Itapuã,120,3,1,1,False,False,False,False,False,False,base_original
690000,apartamento,Vila Velha,Itapuã,65,2,2,1,True,False,False,True,False,True,base_original
690000,apartamento,Vila Velha,Itapuã,80,2,2,1,False,True,True,True,True,True,base_original
695000,apartamento,Vila Velha,Itapuã,64,2,2,1,False,True,True,True,False,False,base_original
695000,apartamento,Vila Velha,Itapuã,64,2,2,1,False,True,True,True,False,True,base_original
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,False,False,False,True,False,False,base_original
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,False,False,False,False,False,False,base_original
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,False,False,True,True,True,False,base_original
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,False,False,True,True,True,True,base_original
700000,apartamento,Vila Velha,Itapuã,70,2,2,1,False,True,False,False,False,True,base_original
700000,apartamento,Vila Velha,Itapuã,90,3,2,1,False,False,True,False,False,True,base_original
700000,apartamento,Vila Velha,Itapuã,80,3,2,1,False,False,False,True,False,True,base_original
700000,apartamento,Vila Velha,Itapuã,94,3,2,1,False,False,False,True,False,True,base_original
700000,apartamento,Vila Velha,Itapuã,106,3,1,1,False,False,True,False,False,False,base_original
704719,apartamento,Vila Velha,Itapuã,250,4,5,3,False,False,False,False,False,False,base_original
715000,apartamento,Vila Velha,Itapuã,65,2,2,1,False,True,False,False,True,True,base_original
729000,apartamento,Vila Velha,Itapuã,69,2,2,1,False,True,True,True,False,True,base_original
730000,apartamento,Vila Velha,Itapuã,66,2,1,1,False,True,True,True,False,False,base_original
730000,apartamento,Vila Velha,Itapuã,60,2,2,1,False,True,True,True,False,True,base_original
730000,apartamento,Vila Velha,Itapuã,65,2,2,2,False,True,True,True,False,True,base_original
730000,apartamento,Vila Velha,Itapuã,120,3,2,2,False,False,False,False,False,False,base_original
