preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
1300000,casa,Cariacica,Campo Grande,560,4,3,3,True,False,False,False,False,False
1400000,apartamento,Cariacica,São Geraldo,115,3,2,2,True,True,True,True,True,True
700000,casa,Cariacica,Santana,200,3,2,0,False,False,True,False,False,False
1030000,casa,Cariacica,Campo Grande,275,2,1,2,False,False,False,False,False,False
590000,casa,Cariacica,Santana,160,5,3,2,True,False,True,False,False,False
380000,apartamento,Cariacica,São Geraldo,126,3,1,0,False,False,True,False,False,False
1500000,casa,Cariacica,Bela Aurora,150,5,4,2,True,True,False,False,False,False
700000,casa,Cariacica,Campo Grande,118,3,1,4,False,False,False,False,False,False
950000,apartamento,Cariacica,Campo Grande,86,3,2,2,True,True,True,False,False,True
899000,casa,Cariacica,Jardim América,100,3,2,2,True,False,False,False,False,False
1680000,casa,Cariacica,Cariacica Sede,202,3,4,2,True,False,True,False,False,False
1300000,casa,Cariacica,Bela Aurora,220,5,4,2,True,True,True,False,False,False
320000,apartamento,Cariacica,São Geraldo,48,2,1,1,False,False,True,True,False,True
350000,apartamento,Cariacica,Rio Branco,53,2,1,1,False,True,True,True,False,True
850000,casa,Cariacica,Itacibá,450,5,5,3,True,False,True,False,False,False
530000,apartamento,Cariacica,Rio Branco,63,3,2,1,True,False,False,False,False,False
150000,casa,Cariacica,Porto Novo,80,3,1,0,False,False,False,False,False,False
600000,casa,Fundão,Praia Grande,60,4,2,3,True,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
635000,casa,Fundão,Praia Grande,300,4,5,5,True,False,False,False,False,False
290000,casa,Fundão,Praia Grande,180,2,3,4,True,False,False,False,False,False
600000,casa,Fundão,Praia Grande,240,4,2,3,True,False,False,False,True,False
1500000,casa,Fundão,Praia Grande,298,4,4,5,True,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
480000,casa,Fundão,Praia Grande,100,4,2,5,False,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
1500000,apartamento,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
590000,casa,Fundão,Praia Grande,600,4,3,4,True,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
670000,casa,Fundão,Praia Grande,100,4,4,3,True,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
650000,casa,Fundão,Praia Grande,100,3,1,5,True,True,False,False,False,False
1500000,apartamento,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
749000,casa,Fundão,Praia Grande,600,3,2,5,True,False,False,False,False,False
1100000,casa,Fundão,Praia Grande,300,4,1,2,True,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,True,False,False,False,True
1500000,casa,Fundão,Praia Grande,298,4,1,5,True,False,False,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,1,5,True,False,False,False,False,False
950000,casa,Fundão,Praia Grande,139,4,2,3,False,True,True,False,False,False
1500000,casa,Fundão,Praia Grande,298,4,5,5,True,False,False,False,False,False
660000,apartamento,Guarapari,Centro,70,2,2,1,True,False,False,False,False,False
949000,apartamento,Guarapari,Enseada Azul,104,2,2,2,True,True,False,False,True,True
630000,apartamento,Guarapari,Centro,70,2,1,1,True,False,False,False,False,False
1300000,apartamento,Guarapari,Centro,115,3,3,2,True,False,False,False,False,False
900000,apartamento,Guarapari,Praia do Morro,110,3,3,2,True,True,True,True,False,True
550000,apartamento,Guarapari,Centro,80,2,1,1,True,False,False,False,False,False
625000,apartamento,Guarapari,Praia do Morro,73,2,1,1,True,False,False,False,False,False
520000,apartamento,Guarapari,Enseada Azul,110,2,2,1,True,False,False,False,False,False
595000,apartamento,Guarapari,Centro,97,2,1,1,True,False,False,False,False,False
850000,apartamento,Guarapari,Praia do Morro,80,2,2,2,False,False,False,False,False,False
450000,apartamento,Guarapari,Centro,70,2,2,1,True,False,False,False,False,False
650000,apartamento,Guarapari,Centro,48,1,1,1,True,False,False,False,False,False
450000,apartamento,Guarapari,Centro,60,2,1,1,True,False,False,False,False,False
678370,apartamento,Guarapari,Praia do Morro,61,2,1,1,True,False,False,False,False,False
450000,apartamento,Guarapari,Praia do Morro,68,2,2,1,True,False,False,False,False,False
617000,apartamento,Guarapari,Centro,92,2,2,2,True,False,False,False,False,False
550000,apartamento,Guarapari,Centro,85,2,1,1,True,False,False,False,False,False
900000,apartamento,Guarapari,Praia do Morro,77,2,2,2,False,False,False,False,False,False
590000,apartamento,Guarapari,Praia do Morro,67,2,2,1,True,True,True,False,True,True
450000,apartamento,Guarapari,Praia do Morro,68,2,2,1,True,False,False,False,False,False
650000,apartamento,Guarapari,Centro,78,2,1,1,False,False,False,False,False,False
900000,apartamento,Guarapari,Praia do Morro,77,2,2,2,False,False,False,False,False,False
960000,apartamento,Guarapari,Centro,110,3,2,2,True,True,True,True,False,True
680000,apartamento,Guarapari,Centro,100,3,1,1,True,False,False,False,False,False
500000,apartamento,Guarapari,Centro,86,2,1,1,True,False,False,False,False,False
1300000,apartamento,Guarapari,São Judas Tadeu,180,3,2,2,True,True,False,True,False,True
800000,apartamento,Guarapari,Praia do Morro,76,2,2,1,True,False,False,False,False,False
998000,apartamento,Guarapari,Portal,181,3,2,1,False,False,True,False,True,True
600000,apartamento,Guarapari,Praia do Morro,75,2,2,2,True,False,False,False,False,True
590000,apartamento,Guarapari,Praia do Morro,110,2,2,1,False,False,False,False,False,False
600000,apartamento,Guarapari,Praia do Morro,120,3,1,1,False,False,False,False,False,False
700000,apartamento,Guarapari,Praia do Morro,76,2,2,1,True,True,False,False,False,True
1350000,apartamento,Guarapari,Praia do Morro,129,3,2,2,True,False,False,False,False,False
600000,apartamento,Guarapari,Centro,89,2,2,1,True,False,False,False,False,False
550000,apartamento,Guarapari,Centro,80,2,1,1,False,False,False,False,False,False
580000,apartamento,Guarapari,Centro,75,3,1,1,True,False,False,False,False,False
700000,apartamento,Guarapari,Centro,80,3,2,1,False,False,False,False,False,False
650000,apartamento,Guarapari,Praia do Morro,60,2,1,1,False,False,False,False,False,False
1500000,apartamento,Guarapari,Praia do Morro,180,5,5,2,True,False,False,False,False,False
690000,apartamento,Guarapari,Santa Mônica,250,3,1,1,True,True,False,False,False,False
550000,apartamento,Guarapari,Praia do Morro,74,2,2,1,True,False,True,False,False,True
750000,apartamento,Guarapari,Ipiranga,100,3,2,1,True,False,False,False,False,False
750000,apartamento,Guarapari,Praia do Morro,100,3,2,1,True,False,False,False,False,False
700000,apartamento,Guarapari,Centro,70,2,2,1,True,False,False,False,False,False
950000,apartamento,Guarapari,Centro,90,3,2,1,True,False,False,False,False,False
1800000,apartamento,Guarapari,Centro,115,3,2,2,True,True,False,True,False,True
850000,apartamento,Guarapari,Praia do Morro,80,2,2,2,False,False,False,False,False,False
1350000,apartamento,Guarapari,Praia do Morro,115,3,1,2,False,False,False,False,False,False
1250000,apartamento,Guarapari,Nova Guarapari,110,3,3,2,True,False,False,False,False,False
780000,apartamento,Guarapari,Praia do Morro,71,2,1,1,True,False,True,False,False,False
650000,apartamento,Guarapari,Praia do Morro,75,2,1,1,True,False,False,False,False,False
630000,apartamento,Guarapari,Perocão,120,2,3,2,True,False,False,False,False,False
890000,apartamento,Guarapari,Praia do Morro,100,3,2,2,False,True,False,True,False,True
700000,apartamento,Guarapari,Praia do Morro,86,2,2,1,True,False,False,False,True,True
650000,apartamento,Guarapari,Enseada Azul,87,2,1,1,False,False,False,False,False,False
800000,casa,Guarapari,Comunidade Urbana de Jaboti,180,3,3,4,True,False,False,False,False,False
420000,apartamento,Guarapari,Praia do Morro,62,2,2,1,True,False,False,False,True,True
1300000,apartamento,Guarapari,Praia do Morro,120,3,1,1,True,False,False,False,False,False
400000,apartamento,Guarapari,Praia do Morro,68,2,1,1,False,False,False,False,False,False
800000,apartamento,Guarapari,Praia do Morro,180,4,4,2,True,False,False,False,False,False
690000,apartamento,Guarapari,Centro,70,2,2,1,True,True,False,False,True,True
635000,apartamento,Guarapari,Praia do Morro,88,3,2,1,True,False,False,False,False,False
780000,apartamento,Guarapari,Centro,80,2,2,1,True,False,False,False,False,False
480000,apartamento,Guarapari,Praia do Morro,56,1,1,1,False,False,False,False,False,False
1060000,apartamento,Guarapari,Praia do Morro,87,2,1,2,False,False,False,False,False,False
480000,apartamento,Guarapari,Centro,86,2,1,1,True,False,False,False,False,False
730000,apartamento,Guarapari,Praia do Morro,100,2,1,1,True,False,False,False,False,False
550000,apartamento,Guarapari,Praia do Morro,81,2,1,1,False,False,False,False,False,False
1250000,apartamento,Guarapari,Praia do Morro,108,3,3,2,True,False,False,False,True,True
675000,apartamento,Guarapari,Centro,75,2,2,1,True,False,False,False,False,True
720000,apartamento,Guarapari,Centro,75,2,1,1,True,False,False,False,False,False
530000,apartamento,Guarapari,Enseada Azul,78,2,2,1,True,False,False,False,True,False
742000,apartamento,Guarapari,Praia do Morro,75,2,1,2,True,False,False,False,False,False
550000,apartamento,Guarapari,Praia do Morro,130,3,2,1,False,False,False,False,False,False
480000,apartamento,Guarapari,Centro,100,2,1,1,True,False,False,False,False,False
700000,apartamento,Guarapari,Centro,59,2,2,1,False,True,False,True,False,True
1290000,apartamento,Guarapari,Praia do Morro,135,4,3,2,True,False,False,False,False,False
690000,apartamento,Guarapari,Praia do Morro,72,2,1,1,True,False,False,False,False,False
690000,apartamento,Guarapari,Praia do Morro,70,2,2,1,True,True,True,False,True,True
1250000,apartamento,Guarapari,Praia do Morro,102,3,2,2,True,False,False,False,False,False
750000,apartamento,Guarapari,Centro,110,2,2,1,True,False,False,False,False,True
800000,apartamento,Guarapari,Praia do Morro,90,3,2,2,True,False,False,False,False,False
899000,apartamento,Guarapari,Praia do Morro,90,3,3,1,True,False,True,False,True,True
650000,apartamento,Guarapari,Centro,80,2,2,1,True,False,False,False,False,False
930000,apartamento,Guarapari,Centro,89,2,3,2,True,False,False,False,False,False
750000,apartamento,Guarapari,Praia do Morro,75,2,1,2,True,False,False,False,False,False
