_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
328,3365,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,63,63,2.0,2.0,2.0,0.0,0.0,0,0.0
328,3517,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,63,63,2.0,2.0,2.0,0.0,0.0,0,0.0
328,3700,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,63,63,2.0,2.0,2.0,0.0,0.0,0,0.0
331,3365,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,63,63,2.0,2.0,2.0,0.0,0.0,0,0.0
331,3517,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,63,63,2.0,2.0,2.0,0.0,0.0,0,0.0
331,3700,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,63,63,2.0,2.0,2.0,0.0,0.0,0,0.0
338,3435,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,869000,869000.0,90,90,2.0,2.0,2.0,0.0,0.0,0,0.0
338,3438,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,869000,869000.0,90,90,2.0,2.0,2.0,0.0,0.0,0,0.0
338,3829,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,869000,869000.0,90,90,2.0,2.0,2.0,0.0,0.0,0,0.0
348,3984,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,891000,891000.0,80,80,3.0,2.0,2.0,0.0,0.0,0,0.0
352,3750,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,899000,899000.0,65,65,2.0,2.0,2.0,0.0,0.0,0,0.0
353,3750,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,899000,899000.0,65,65,2.0,2.0,2.0,0.0,0.0,0,0.0
355,4654,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,900000,900000.0,100,100,3.0,3.0,2.0,0.0,0.0,0,0.0
356,3897,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,900000,900000.0,85,85,2.0,2.0,1.0,0.0,0.0,0,0.0
360,3846,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,910000,910000.0,86,86,2.0,2.0,2.0,0.0,0.0,0,0.0
366,3446,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,940000,940000.0,75,75,2.0,2.0,1.0,0.0,0.0,0,0.0
404,3877,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1050000,1050000.0,90,90,3.0,2.0,2.0,0.0,0.0,0,0.0
408,4797,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1060000,1060000.0,132,132,3.0,3.0,1.0,0.0,0.0,0,0.0
409,4797,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1060000,1060000.0,132,132,3.0,3.0,1.0,0.0,0.0,0,0.0
417,3962,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1100000,1100000.0,140,140,3.0,3.0,2.0,0.0,0.0,0,0.0
431,3956,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1182300,1182300.0,89,89,3.0,1.0,2.0,0.0,0.0,0,0.0
440,4537,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1200000,1200000.0,100,100,3.0,2.0,2.0,0.0,0.0,0,0.0
445,4367,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1200000,1200000.0,82,82,2.0,2.0,2.0,0.0,0.0,0,0.0
458,3938,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000.0,160,160,3.0,3.0,2.0,0.0,0.0,0,0.0
459,3938,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000.0,160,160,3.0,3.0,2.0,0.0,0.0,0,0.0
