preco_venda,preco_m2,tipo_imovel_original,tipo_imovel,cidade_original,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,preco_suspeito,area_suspeita,preco_m2_suspeito
350000,5468.75,Casa,casa,Cariacica,Cariacica,Jardim Campo Grande,64,2,1,0,False,False,False,False,False,False,False,False,False
1350000,9507.04,Sobrado,casa,Cariacica,Cariacica,São Francisco,142,3,2,0,True,False,False,False,False,False,False,False,False
400000,1600.0,Casa,casa,Cariacica,Cariacica,Itaquari,250,3,1,0,False,False,False,False,False,False,False,False,False
349900,6601.89,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,53,2,1,0,False,True,True,False,False,True,False,False,False
480000,3000.0,Apartamento,apartamento,Cariacica,Cariacica,Alto Lage,160,3,2,0,True,False,False,False,False,False,False,False,False
550000,2750.0,Casa,casa,Cariacica,Cariacica,Campina Grande,200,4,2,0,False,False,True,False,False,False,False,False,False
1000000,7142.86,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,140,4,2,2,True,True,False,True,False,True,False,False,False
350000,5555.56,Casa,casa,Cariacica,Cariacica,Porto de Cariacica,63,2,1,1,False,False,False,False,False,False,False,False,False
749900,6817.27,Casa,casa,Cariacica,Cariacica,São Conrado,110,5,3,2,True,False,False,False,False,False,False,False,False
2650000,44166.67,Apartamento,apartamento,Cariacica,Cariacica,São Conrado,60,2,2,5,True,False,False,False,False,False,False,False,True
250000,3906.25,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,64,2,1,0,False,False,False,False,False,False,False,False,False
550000,2200.0,Casa,casa,Cariacica,Cariacica,Bela Aurora,250,6,3,4,True,False,False,False,False,False,False,False,False
750000,2586.21,Casa,casa,Cariacica,Cariacica,Alto Lage,290,8,4,2,True,False,False,False,False,False,False,False,False
1300000,11304.35,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,115,3,2,2,True,True,True,True,True,True,False,False,False
700000,6250.0,Apartamento,apartamento,Cariacica,Cariacica,Tiradentes,112,3,3,0,True,False,True,False,False,False,False,False,False
