preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
561000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,1.0,20,0,False,False,False,False,False,False
561000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,52,2.0,1.0,1.0,9,3,False,True,True,True,False,False
561000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,52,2.0,1.0,1.0,9,4,False,True,True,True,False,False
561003,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,1.0,17,0,False,False,False,False,False,False
645796,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,54,2.0,2.0,1.0,20,2,False,False,False,False,False,False
645800,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,54,2.0,2.0,1.0,20,0,True,False,False,True,False,False
645800,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,54,2.0,2.0,1.0,17,1,True,False,False,False,False,False
650000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,103,3.0,2.0,1.0,11,4,False,False,False,False,False,False
650000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,103,3.0,2.0,1.0,20,4,True,False,False,True,False,True
671092,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,16,2,True,False,False,True,False,False
671092,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,20,3,True,False,False,True,False,False
671095,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,16,3,False,False,False,False,False,False
671097,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,19,3,True,False,False,False,False,False
671098,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,18,1,True,False,False,True,False,False
671103,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,18,1,True,False,False,False,False,False
671104,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,15,2,False,False,False,False,False,False
671105,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,56,2.0,2.0,2.0,20,0,False,False,False,True,False,False
682773,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,62,2.0,1.0,1.0,11,2,False,True,True,True,False,False
690000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,103,3.0,2.0,1.0,19,2,False,False,False,True,False,True
690000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,102,3.0,2.0,1.0,15,3,True,False,False,False,False,False
690000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,103,3.0,2.0,1.0,19,8,False,False,False,False,False,False
