_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
360,3706,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,910000,910000,86,86,2.0,2.0,2.0,0,0.0,0,0.0
366,3306,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,940000,940000,75,75,2.0,2.0,1.0,0,0.0,0,0.0
404,3737,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1050000,1050000,90,90,3.0,2.0,2.0,0,0.0,0,0.0
408,4654,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1060000,1060000,132,132,3.0,3.0,1.0,0,0.0,0,0.0
409,4654,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1060000,1060000,132,132,3.0,3.0,1.0,0,0.0,0,0.0
417,3822,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1100000,1100000,140,140,3.0,3.0,2.0,0,0.0,0,0.0
431,3816,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1182300,1182300,89,89,3.0,1.0,2.0,0,0.0,0,0.0
440,4395,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1200000,1200000,100,100,3.0,2.0,2.0,0,0.0,0,0.0
445,4225,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1200000,1200000,82,82,2.0,2.0,2.0,0,0.0,0,0.0
458,3798,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000,160,160,3.0,3.0,2.0,0,0.0,0,0.0
459,3798,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000,160,160,3.0,3.0,2.0,0,0.0,0,0.0
460,3798,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000,160,160,3.0,3.0,2.0,0,0.0,0,0.0
461,3798,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1280000,1280000,160,160,3.0,3.0,2.0,0,0.0,0,0.0
462,3430,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1295000,1295000,141,141,3.0,3.0,2.0,0,0.0,0,0.0
468,3698,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1300000,1300000,110,110,3.0,2.0,2.0,0,0.0,0,0.0
471,3679,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,1300000,1300000,90,90,3.0,2.0,2.0,0,0.0,0,0.0
