motivo_remocao,id_anuncio,titulo,url,categoria_olx,tipo_detalhado,tipo_url,data_anuncio_olx,data_coleta,preco_venda,area_m2,preco_m2,cidade,bairro,tipo_imovel,subtipo_imovel,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,area_suspeita,preco_suspeito,preco_m2_suspeito,preco_m2_suspeito_original
area_suspeita,1494827429,VENDO CASA SM SÃO GERALDO,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-sm-sao-geraldo-1494827429,Casas,Venda - casa em rua pública,casa,2026-06-22T09:17:35,2026-07-06T22:29:02,180000,130000,1.38,Cariacica,São Geraldo,casa,casa_rua_publica,2,2,1,10,14,False,False,True,False,False,False,True,False,True,True
area_suspeita,1506099123,vendo casa dois pavimentos 70 mil,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-dois-pavimentos-70-mil-1506099123,Casas,Venda - casa em rua pública,casa,2026-05-28T15:58:59,2026-07-06T22:31:36,70000,2,35000.0,Cariacica,São João Batista,casa,casa_rua_publica,4,3,0,1,39,False,False,False,False,False,False,True,False,True,False
preco_suspeito,1506823280,VENDO CASA AMPLA COM ANEXO,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-ampla-com-anexo-1506823280,Casas,Venda - casa em rua pública,casa,2026-05-31T14:23:20,2026-07-06T22:31:36,300,385,0.78,Cariacica,Vila Capixaba,casa,casa_rua_publica,2,3,5,11,36,False,False,True,False,False,False,False,True,True,True
area_suspeita,1494817731,VENDO CASA VILA CAPIXABA,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-vila-capixaba-1494817731,Casas,Venda - casa em rua pública,casa,2026-06-22T09:24:38,2026-07-06T22:29:02,195000,120000,1.62,Cariacica,Vila Capixaba,casa,casa_rua_publica,2,1,1,9,14,False,False,True,False,False,False,True,False,True,True
area_m2_invalida,1513560538,"Vendo duas casas valor pra venda 290,000 e pra troca 320,000",https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-duas-casas-valor-pra-venda-290-000-e-pra-troca-320-000-1513560538,Casas,Venda - casa em rua pública,casa,2026-06-26T15:22:44,2026-07-06T22:29:02,290,0,,Cariacica,Vila Independência,casa,casa_rua_publica,3,1,1,20,10,False,False,True,False,False,False,True,True,False,False
preco_suspeito,1513190113,"Lote , com barraco de madeira",https://es.olx.com.br/norte-do-espirito-santo/imoveis/lote-com-barraco-de-madeira-1513190113,Casas,Venda - casa em vila,casa,2026-06-25T08:27:29,2026-07-06T22:29:02,32000,999999,0.03,Cariacica,Vila Independência,casa,casa,1,1,1,8,11,False,False,False,False,False,False,True,True,True,True
area_m2_invalida,1507937407,Casa,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-1507937407,Casas,Venda - casa em vila,casa,2026-06-04T15:43:05,2026-07-06T22:31:18,35000,0,,Cariacica,Vila Prudêncio,casa,casa,1,1,0,4,32,False,False,False,False,False,False,True,True,False,False
area_suspeita,1301090097,"Casa pé na areia , Praia Grande ES",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-pe-na-areia-praia-grande-es-1301090097,Casas,Venda - casa em rua pública,casa,2024-05-02T10:48:45,2026-07-06T22:16:15,1190000,1300,915.38,Fundão,Praia Grande,casa,casa_rua_publica,3,2,,11,795,False,False,False,False,False,False,True,False,False,True
area_suspeita,1389491034,Praia Grande(Condomínio de chácaras) - Fundão/ES; Belissíma casa.,https://es.olx.com.br/norte-do-espirito-santo/imoveis/praia-grande-condominio-de-chacaras-fundao-es-belissima-casa-1389491034,Casas,Venda - casa em rua pública,casa,2025-03-25T09:16:01,2026-07-06T22:16:15,1500000,1500,1000.0,Fundão,Praia Grande,casa,casa_rua_publica,5,4,,20,468,False,False,False,False,False,False,True,False,False,False
area_suspeita,1481343475,"Praia Grande - Fundão/ES; Espetacular casa à beira-mar, pé na areia e com vista privilegia",https://es.olx.com.br/norte-do-espirito-santo/imoveis/praia-grande-fundao-es-espetacular-casa-a-beira-mar-pe-na-areia-e-com-vista-privilegia-1481343475,Casas,Venda - casa em rua pública,casa,2026-02-27T14:59:31,2026-07-06T22:15:59,2100000,2500,840.0,Fundão,Praia Grande,casa,casa_rua_publica,4,3,,13,129,False,False,False,False,False,False,True,False,False,True
